rank,Player,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4,team,bowler_surname,year,season,bowler,overall_key_count,home_key_count,away_key_count,team_position,Team Name
11,MM Sharma (CSK),16,16,342,57.0,-,481,14,3/25,3/25,34.35,8.43,24.42,,CSK,Sharma,2015,2015,Sandeep Sharma,5.0,2.0,3.0,1.0,Chennai Super Kings
12,DS Kulkarni (RR),11,11,210,35.0,1,277,13,2/9,2/9,21.30,7.91,16.15,,RR,Kulkarni,2015,2015,Dhawal Kulkarni,7.0,5.0,2.0,4.0,Rajasthan Royals
13,CH Morris (RR),11,11,252,42.0,-,311,13,4/23,4/23,23.92,7.40,19.38,,RR,Morris,2015,2015,Chris Morris,6.0,4.0,2.0,4.0,Rajasthan Royals
14,MC Henriques (SRH),9,9,150,25.0,-,158,11,3/16,3/16,14.36,6.32,13.63,,SRH,Henriques,2015,2015,Moises Henriques,3.0,3.0,0.0,6.0,Sunrisers Hyderabad
15,RA Jadeja (CSK),17,15,256,42.4,-,330,11,4/11,4/11,30.00,7.73,23.27,,CSK,Jadeja,2015,2015,Ravindra Jadeja,3.0,2.0,1.0,1.0,Chennai Super Kings
1,MM Sharma (CSK),16,16,323,53.5,-,452,23,4/14,4/14,19.64,8.39,14.04,,CSK,Sharma,2014,2014,Mohit Sharma,8.0,3.0,5.0,3.0,Chennai Super Kings
2,SP Narine (KKR),16,16,384,64.0,-,407,21,4/20,4/20,19.38,6.35,18.28,,KKR,Narine,2014,2014,Sunil Narine,8.0,5.0,3.0,2.0,Kolkata Knight Riders
3,RA Jadeja (CSK),16,16,326,54.2,-,443,19,4/12,4/12,23.31,8.15,17.15,,CSK,Jadeja,2014,2014,Ravindra Jadeja,6.0,2.0,4.0,3.0,Chennai Super Kings
4,Sandeep Sharma (KXIP),11,11,241,40.1,2,354,18,3/15,3/15,19.66,8.81,13.38,,KXIP,Sharma,2014,2014,Mohit Sharma,8.0,3.0,5.0,1.0,Kings XI Punjab
5,AR Patel (KXIP),17,17,396,66.0,2,405,17,3/24,3/24,23.82,6.13,23.29,,KXIP,Patel,2014,2014,Axar Patel,9.0,4.0,5.0,1.0,Kings XI Punjab
6,MG Johnson (KXIP),14,14,321,53.3,-,444,17,2/19,2/19,26.11,8.29,18.88,,KXIP,Johnson,2014,2014,Mitchell Johnson,3.0,2.0,1.0,1.0,Kings XI Punjab
7,R Ashwin (CSK),16,16,359,59.5,1,437,16,3/30,3/30,27.31,7.30,22.43,,CSK,Ashwin,2014,2014,Ravichandran Ashwin,5.0,3.0,2.0,3.0,Chennai Super Kings
8,PV Tambe (RR),13,13,294,49.0,-,356,15,4/20,4/20,23.73,7.26,19.60,,RR,Tambe,2014,2014,Pravin Tambe,5.0,3.0,2.0,5.0,Rajasthan Royals
9,PP Chawla (KKR),11,11,237,39.3,-,303,14,3/19,3/19,21.64,7.67,16.92,,KKR,Chawla,2014,2014,Piyush Chawla,3.0,1.0,2.0,2.0,Kolkata Knight Riders
10,Harbhajan Singh (MI),14,14,330,55.0,1,356,14,2/13,2/13,25.42,6.47,23.57,,MI,Singh,2014,2014,Harbhajan Singh,6.0,3.0,3.0,4.0,Mumbai Indians
11,R Dhawan (KXIP),13,13,284,47.2,-,365,13,2/14,2/14,28.07,7.71,21.84,,KXIP,Dhawan,2014,2014,Rishi Dhawan,4.0,2.0,2.0,1.0,Kings XI Punjab
12,L Balaji (KXIP),9,9,204,34.0,-,299,12,4/13,4/13,24.91,8.79,17.00,,KXIP,Balaji,2014,2014,Lakshmipathy Balaji,2.0,1.0,1.0,1.0,Kings XI Punjab
